templatename,urlpath,querystring
taxonomyScTemplate,/lifestyle/fit-getaways,globeNoTest,2025-05-14 18:00:02
listScCommerceTemplate,/best-under-desk-treadmills-7480231,globeNoTest,2025-05-14 18:00:05
structuredContentTemplate,/lifestyle/sex-and-love/different-types-of-attraction,globeNoTest,2025-05-14 18:00:07
listScTemplate,/fitness/workouts/vertical-abs-workout-standing-moves-six-pack,globeNoTest,2025-05-14 18:00:08
listScCommerceTemplate,/best-antiperspirants-7564534,globeNoTest,2025-05-14 18:00:02
listScTemplate,/fitness/workouts/7-exercises-and-gym-machines-skip,globeNoTest=true&google_nofetch=true,2025-05-14 18:00:03
structuredContentTemplate,/lifestyle/beauty-style/kate-somerville-exfolikate-review,globeNoTest,2025-05-14 18:00:05
listScTemplate,/weight-loss/tips-plans/22-ways-stay-motivated-lose-weight,globeNoTest,2025-05-14 18:00:02
listScTemplate,/healthy-eating/meal-ideas/how-make-chili-15-fantastic-ways,globeNoTest,2025-05-14 18:00:12
listScCommerceTemplate,/fitness/gear/equipment/best-dumbbells-for-home-gym,utm_source=googlepaid&utm_medium=con&utm_content=EAIaIQobChMI3Nq1t6iijQMVlUhHAR3y-AcmEAAYASAAEgL2evD_BwE&utm_campaign=commerce-dd-Dumbbells_Shape_Combined_CommSEM_DSA&utm_term=&gad_source=1&gad_campaignid=21773756792&gbraid=0AAAAACeazfCd3OxNfSUblLKzGjneME_sv&gclid=EAIaIQobChMI3Nq1t6iijQMVlUhHAR3y-AcmEAAYASAAEgL2evD_BwE&globeNoTest,2025-05-14 18:00:10
serverStatus,/serverStatus,globeNoTest,2025-05-14 18:00:10
structuredContentTemplate,/healthy-eating/healthy-drinks/is-tequila-healthy-best-tequila,globeNoTest,2025-05-14 18:00:13
structuredContentTemplate,/lifestyle/mind-and-body/plantar-fasciitis-exercises,globeNoTest,2025-05-14 18:00:20
listScTemplate,/fitness/workouts/6-butt-exercises-work-wonders,did=17681436-20250513&hid=31f0df0980bd5732eba0f6dd326201a0ffd1fa9a&lctg=31f0df0980bd5732eba0f6dd326201a0ffd1fa9a&lr_input=82f41206f717e4c1581aefe19c77fecbc6fa3b0ab242773659f913cf8c223c2f&mtax=22338-16451-23563-10575-22336&tax0=shp_Homepage&tax1=shp_Fitness&tax2=shp_Workouts&globeNoTest,2025-05-14 18:00:21
structuredContentTemplate,/130-grams-of-protein-8699186,globeNoTest,2025-05-14 18:00:24
serverStatus,/serverStatus,globeNoTest,2025-05-14 18:00:13
serverStatus,/serverStatus,globeNoTest,2025-05-14 18:00:13
serverStatus,/serverStatus,globeNoTest,2025-05-14 18:00:14
exclusiveTemplate,/sneaker-awards-2025-11694906,globeNoTest,2025-05-14 18:00:15
structuredContentTemplate,/fitness/tips/3-things-you-need-do-immediately-after-workout,globeNoTest,2025-05-14 18:00:16
